word,entity_group,frequency,word_lower,mean_tfidf,freq_normalized,combined_score
empat tahun,QTY,7,empat tahun,0.0,0.004053271569195136,0.002026635784597568
elon musk,PER,7,elon musk,0.0,0.004053271569195136,0.002026635784597568
dolar amerika serikat as,MON,7,dolar amerika serikat as,0.0,0.004053271569195136,0.002026635784597568
impor,LAW,7,impor,0.0,0.004053271569195136,0.002026635784597568
setengah,CRD,7,setengah,0.0,0.004053271569195136,0.002026635784597568
saudi,GPE,7,saudi,0.0,0.004053271569195136,0.002026635784597568
huawei,ORG,7,huawei,0.0,0.004053271569195136,0.002026635784597568
samsung,ORG,7,samsung,0.0,0.004053271569195136,0.002026635784597568
jakarta kompas com,ORG,7,jakarta kompas com,0.0,0.004053271569195136,0.002026635784597568
joe biden,PER,7,joe biden,0.0,0.004053271569195136,0.002026635784597568
american,ORG,7,american,0.0,0.004053271569195136,0.002026635784597568
he lifeng,PER,7,he lifeng,0.0,0.004053271569195136,0.002026635784597568
gandum,PRD,7,gandum,0.0,0.004053271569195136,0.002026635784597568
euro,ORG,7,euro,0.0,0.004053271569195136,0.002026635784597568
foreign,LAW,7,foreign,0.0,0.004053271569195136,0.002026635784597568
filipina,GPE,7,filipina,0.0,0.004053271569195136,0.002026635784597568
badan pusat statistik bps,ORG,7,badan pusat statistik bps,0.0,0.004053271569195136,0.002026635784597568
youtube,ORG,7,youtube,0.0,0.004053271569195136,0.002026635784597568
tekstil,PRD,6,tekstil,0.0,0.003474232773595831,0.0017371163867979154
tiga tahun,QTY,6,tiga tahun,0.0,0.003474232773595831,0.0017371163867979154
trumpyang,PER,6,trumpyang,0.0,0.003474232773595831,0.0017371163867979154
tujuh,CRD,6,tujuh,0.0,0.003474232773595831,0.0017371163867979154
afp,ORG,6,afp,0.0,0.003474232773595831,0.0017371163867979154
carney,PER,6,carney,0.0,0.003474232773595831,0.0017371163867979154
covid,EVT,6,covid,0.0,0.003474232773595831,0.0017371163867979154
cnn,ORG,6,cnn,0.0,0.003474232773595831,0.0017371163867979154
cook,ORG,6,cook,0.0,0.003474232773595831,0.0017371163867979154
leavitt,PER,6,leavitt,0.0,0.003474232773595831,0.0017371163867979154
menteri luar negeri,NOR,6,menteri luar negeri,0.0,0.003474232773595831,0.0017371163867979154
